"ALDEIA,C,100","SUCO,C,80","P_ADMIN,C,50","NewAldCode,C,254","NewSucoCod,C,254","NewPostAdC,C,254","NewMunCode,C,254"
Neo-Ho'o,Baha Mori,Venilale,04060205,040602,0406,04
Dessa,Lelalai,Quelicai,04041002,040410,0404,04
Harame,Aidabaleten,Atabae,05010103,050101,0501,05
Fatubesi,Atabae,Atabae,05010201,050102,0501,05
Boloi,Hataz,Atabae,05010304,050103,0501,05
Rairobo,Rairobo,Atabae,05010403,050104,0501,05
Amandato,Balibo Vila,Balibo,05020101,050201,0502,05
Rai Lauli,Cowa,Balibo,05020305,050203,0502,05
Duaderoc,Leolima,Balibo,05020502,050205,0502,05
Palaca,Sanirin,Balibo,05020602,050206,0502,05
Mazop,Ai-Assa,Bobonaro,05030104,050301,0503,05
Atuaben,Atu-Aben,Bobonaro,05030201,050302,0503,05
Tuluata,Bobonaro,Bobonaro,05030303,050303,0503,05
Udu-Ai,Carabau,Bobonaro,05030405,050304,0503,05
Beamoas,Colimau,Bobonaro,05030502,050305,0503,05
Ilat-Laun,Ilat-Laun,Bobonaro,05030701,050307,0503,05
Holbese,Leber,Bobonaro,05030802,050308,0503,05
Galitaz,Lour,Bobonaro,05030901,050309,0503,05
Zo-Belis,Lourba,Bobonaro,05031004,050310,0503,05
Taimea,Malilait,Bobonaro,05031203,050312,0503,05
Maliubu,Maliubu,Bobonaro,05031104,050311,0503,05
Lonlolo,Molop,Bobonaro,05031302,050313,0503,05
Oeleo Taz,Oeleo,Bobonaro,05031402,050314,0503,05
Sibuni,Sibuni,Bobonaro,05031503,050315,0503,05
Soileco,Soileco,Bobonaro,05031602,050316,0503,05
Oe-Po,Tapo,Bobonaro,05031701,050317,0503,05
Tebabui,Tebabui,Bobonaro,05031803,050318,0503,05
Sah-Heu,Dau Udo,Cailaco,05040202,050402,0504,05
Malilia,Goulolo,Cailaco,05040302,050403,0504,05
Biaboro,Guenu Lai,Cailaco,05040401,050404,0504,05
Tatelori,Manapa,Cailaco,05040503,050405,0504,05
Mude,Meligo,Cailaco,05040604,050406,0504,05
Daru Asa,Raiheu,Cailaco,05040801,050408,0504,05
Oe-Laca,Deudet,Lolotoe,05050103,050501,0505,05
Gildapil,Gildapil,Lolotoe,05050202,050502,0505,05
Mapelai,Lebos,Lolotoe,05050401,050504,0505,05
Ozo,Lontas,Lolotoe,05050501,050505,0505,05
Silagolo,Lupal,Lolotoe,05050603,050506,0505,05
Raimea,Opa,Lolotoe,05050702,050507,0505,05
Tas,Holsa,Maliana,05060106,050601,0506,05
Lahomea,Lahomea,Maliana,05060204,050602,0506,05
Guenuha'an,Odomau,Maliana,05060302,050603,0506,05
Anahun,Odomau,Maliana,05060301,050603,0506,05
Tazmasac,Saburai,Maliana,05060603,050606,0506,05
Moleana,Ritabou,Maliana,05060507,050605,0506,05
Samelau,Ritabou,Maliana,05060510,050605,0506,05
Uat,Ritabou,Maliana,05060512,050605,0506,05
Timatan,Ritabou,Maliana,05060511,050605,0506,05
Diruaben,Ritabou,Maliana,05060503,050605,0506,05
Ritabou,Ritabou,Maliana,05060508,050605,0506,05
Ritiudo,Ritabou,Maliana,05060509,050605,0506,05
Dai Tete,Ritabou,Maliana,05060502,050605,0506,05
Ma'a Hui,Ritabou,Maliana,05060505,050605,0506,05
Maganutu,Ritabou,Maliana,05060506,050605,0506,05
Raifun Foho,Raifun,Maliana,05060402,050604,0506,05
Galusapulu,Lahomea,Maliana,05060201,050602,0506,05
Aculaca,Lahomea,Maliana,05060203,050602,0506,05
Maliana,Lahomea,Maliana,05060205,050602,0506,05
Raimaten,Odomau,Maliana,05060303,050603,0506,05
Guenuha'an,Lahomea,Maliana,05060202,050602,0506,05
Solugolo,Holsa,Maliana,05060105,050601,0506,05
Oplegul,Holsa,Maliana,05060103,050601,0506,05
Rocon,Odomau,Maliana,05060304,050603,0506,05
Bilicou,Holsa,Maliana,05060101,050601,0506,05
Lolooa,Holsa,Maliana,05060102,050601,0506,05
Secar,Holsa,Maliana,05060104,050601,0506,05
Cor Luli,Ritabou,Maliana,05060501,050605,0506,05
Halecou,Ritabou,Maliana,05060504,050605,0506,05
Pip Galag 2,Tapo/Memo,Maliana,05060704,050607,0506,05
Pip Galag 1,Tapo/Memo,Maliana,05060703,050607,0506,05
Belola,Balibo Vila,Balibo,05020104,050201,0502,05
Fatululik,Balibo Vila,Balibo,05020107,050201,0502,05
Fatuk Laran,Balibo Vila,Balibo,05020106,050201,0502,05
Balibo Vila,Balibo Vila,Balibo,05020103,050201,0502,05
Atara,Balibo Vila,Balibo,05020102,050201,0502,05
Builekun,Balibo Vila,Balibo,05020105,050201,0502,05
Nuntana,Raifun,Maliana,05060401,050604,0506,05
Raifun Villa,Raifun,Maliana,05060403,050604,0506,05
Nu Badak,Batugade,Balibo,05020203,050202,0502,05
Lotan,Batugade,Balibo,05020202,050202,0502,05
Mape,Opa,Lolotoe,05050701,050507,0505,05
Tepa,Opa,Lolotoe,05050703,050507,0505,05
Anon,Guda,Lolotoe,05050301,050503,0505,05
Oceli,Guda,Lolotoe,05050303,050503,0505,05
Gudataz,Guda,Lolotoe,05050302,050503,0505,05
Zoilpo,Guda,Lolotoe,05050304,050503,0505,05
Dilai,Lupal,Lolotoe,05050601,050506,0505,05
Lupal Taz,Lupal,Lolotoe,05050602,050506,0505,05
Tas Mil,Lontas,Lolotoe,05050503,050505,0505,05
Piron,Lontas,Lolotoe,05050502,050505,0505,05
Atos,Gildapil,Lolotoe,05050201,050502,0505,05
Gole,Deudet,Lolotoe,05050102,050501,0505,05
Bou-Tal,Deudet,Lolotoe,05050101,050501,0505,05
Faturui,Leolima,Balibo,05020503,050205,0502,05
Raifatuk,Leolima,Balibo,05020504,050205,0502,05
Bour,Leolima,Balibo,05020501,050205,0502,05
ManeHat,Cowa,Balibo,05020304,050203,0502,05
Mohak,Leohito,Balibo,05020404,050204,0502,05
Caco,Sanirin,Balibo,05020601,050206,0502,05
Subaleco,Sanirin,Balibo,05020603,050206,0502,05
Tasi Mean,Aidabaleten,Atabae,05010106,050101,0501,05
Tutubaba,Aidabaleten,Atabae,05010107,050101,0501,05
Sulilaran,Aidabaleten,Atabae,05010105,050101,0501,05
Miguir,Aidabaleten,Atabae,05010104,050101,0501,05
Biacou,Aidabaleten,Atabae,05010102,050101,0501,05
Aidabaleten,Aidabaleten,Atabae,05010101,050101,0501,05
Biamaraen,Hataz,Atabae,05010303,050103,0501,05
Aidabasalala,Hataz,Atabae,05010302,050103,0501,05
Aidabaleten,Hataz,Atabae,05010301,050103,0501,05
Limanaro,Rairobo,Atabae,05010402,050104,0501,05
Faturase,Rairobo,Atabae,05010401,050104,0501,05
Saborapo,Atabae,Atabae,05010205,050102,0501,05
Helesu,Atabae,Atabae,05010202,050102,0501,05
Made Bau,Atabae,Atabae,05010204,050102,0501,05
Heda,Purugua,Cailaco,05040701,050407,0504,05
Tuturema,Atudara,Cailaco,05040104,050401,0504,05
Atubuti,Atudara,Cailaco,05040101,050401,0504,05
Biateho,Atudara,Cailaco,05040102,050401,0504,05
Nuapu,Atudara,Cailaco,05040103,050401,0504,05
Daulelo,Meligo,Cailaco,05040602,050406,0504,05
Berleu,Meligo,Cailaco,05040601,050406,0504,05
Liabote,Meligo,Cailaco,05040603,050406,0504,05
Cauloco Lete,Dau Udo,Cailaco,05040201,050402,0504,05
Ohoana,Raiheu,Cailaco,05040803,050408,0504,05
Lete Aituto,Raiheu,Cailaco,05040802,050408,0504,05
Tapomeak,Manapa,Cailaco,05040502,050405,0504,05
Lugululi,Manapa,Cailaco,05040501,050405,0504,05
Lesupu,Purugua,Cailaco,05040702,050407,0504,05
Tirimoso,Guenu Lai,Cailaco,05040403,050404,0504,05
Suri-Ubu,Goulolo,Cailaco,05040303,050403,0504,05
Ilat-Bote,Goulolo,Cailaco,05040301,050403,0504,05
Melemaga,Guenu Lai,Cailaco,05040402,050404,0504,05
Lolocolo,Atabae,Atabae,05010203,050102,0501,05
Vilamaria,Rairobo,Atabae,05010404,050104,0501,05
Lesigatal,Bobonaro,Bobonaro,05030302,050303,0503,05
Lactil,Bobonaro,Bobonaro,05030301,050303,0503,05
Aisalgusun,Ai-Assa,Bobonaro,05030102,050301,0503,05
Oalgomo,Ai-Assa,Bobonaro,05030105,050301,0503,05
Odelgomo,Ai-Assa,Bobonaro,05030106,050301,0503,05
Ai-Assa,Ai-Assa,Bobonaro,05030101,050301,0503,05
Laho,Ai-Assa,Bobonaro,05030103,050301,0503,05
Malilu,Malilait,Bobonaro,05031201,050312,0503,05
Malilait,Malilait,Bobonaro,05031202,050312,0503,05
Manunia,Colimau,Bobonaro,05030504,050305,0503,05
Atublogo,Colimau,Bobonaro,05030501,050305,0503,05
Tegoabe,Colimau,Bobonaro,05030505,050305,0503,05
Aimeta,Cota Bo'ot,Bobonaro,05030601,050306,0503,05
Lo'o Dasi,Colimau,Bobonaro,05030503,050305,0503,05
Sordoli,Lourba,Bobonaro,05031003,050310,0503,05
Lourba Leten,Lourba,Bobonaro,05031002,050310,0503,05
Gumer,Lourba,Bobonaro,05031001,050310,0503,05
Purugoa,Ilat-Laun,Bobonaro,05030702,050307,0503,05
Tunero,Ilat-Laun,Bobonaro,05030703,050307,0503,05
Tazgolo,Lour,Bobonaro,05030904,050309,0503,05
Heliquei,Lour,Bobonaro,05030902,050309,0503,05
Olo-Olo,Lour,Bobonaro,05030903,050309,0503,05
Holmesel,Sibuni,Bobonaro,05031501,050315,0503,05
Mapeop,Sibuni,Bobonaro,05031502,050315,0503,05
Anapal,Molop,Bobonaro,05031301,050313,0503,05
Omelai,Molop,Bobonaro,05031304,050313,0503,05
Molop Taz,Molop,Bobonaro,05031303,050313,0503,05
Butuc,Leber,Bobonaro,05030801,050308,0503,05
Mabelis,Leber,Bobonaro,05030805,050308,0503,05
Leber Taz,Leber,Bobonaro,05030804,050308,0503,05
Holsa Taz,Leber,Bobonaro,05030803,050308,0503,05
Talite,Atu-Aben,Bobonaro,05030202,050302,0503,05
Atu Lara,Maliubu,Bobonaro,05031101,050311,0503,05
Nunupa,Maliubu,Bobonaro,05031105,050311,0503,05
Hatu-Udu,Maliubu,Bobonaro,05031102,050311,0503,05
Licaubu,Maliubu,Bobonaro,05031103,050311,0503,05
Tapo Tas,Tapo,Bobonaro,05031702,050317,0503,05
Mologuen,Oeleo,Bobonaro,05031401,050314,0503,05
Ai-Aras,Soileco,Bobonaro,05031601,050316,0503,05
Carabau,Carabau,Bobonaro,05030402,050304,0503,05
Atumnaro,Carabau,Bobonaro,05030401,050304,0503,05
Nunubuti,Carabau,Bobonaro,05030403,050304,0503,05
Tasibalu,Carabau,Bobonaro,05030404,050304,0503,05
Atupae,Tebabui,Bobonaro,05031801,050318,0503,05
Bugas,Tebabui,Bobonaro,05031802,050318,0503,05
Oboe,Cota Bo'ot,Bobonaro,05030602,050306,0503,05
Batugade,Batugade,Balibo,05020201,050202,0502,05
Faloai,Leohito,Balibo,05020402,050204,0502,05
Tunu Bibi,Tapo/Memo,Maliana,05060705,050607,0506,05
Uluatin,Tapo/Memo,Maliana,05060706,050607,0506,05
Lepguen,Tapo/Memo,Maliana,05060701,050607,0506,05
Manu Aman,Tapo/Memo,Maliana,05060702,050607,0506,05
Mabiloa,Saburai,Maliana,05060602,050606,0506,05
Cossal,Saburai,Maliana,05060601,050606,0506,05
Mabelis,Lebos,Lolotoe,05050402,050504,0505,05
Lalis,Cowa,Balibo,05020303,050203,0502,05
Bawai,Cowa,Balibo,05020301,050203,0502,05
Futatas,Cowa,Balibo,05020302,050203,0502,05
Aiasa,Leohito,Balibo,05020401,050204,0502,05
Ferik Katuas,Leohito,Balibo,05020403,050204,0502,05
Rai Ulun,Leohito,Balibo,05020405,050204,0502,05
Aitoun,Fatululic,Fatululic,06010101,060101,0601,06
Macous,Taroman,Fatululic,06010204,060102,0601,06
Belulic Craic,Belulic Leten,Fatumean,06020102,060201,0602,06
Santa Cruz,Ailelo,Hatulia A,08030203,080302,0803,08
Leirema,Ailelo,Hatulia A,08030202,080302,0803,08
Raimate,Aculau,Hatulia A,08030104,080301,0803,08
Poelete,Aculau,Hatulia A,08030103,080301,0803,08
Noerem,Aculau,Hatulia A,08030106,080301,0803,08
Gunutur,Leimea-Craic,Hatulia A,08030501,080305,0803,08
Hatupae,Leimea-Craic,Hatulia A,08030502,080305,0803,08
Petalara,Samara,Hatulia A,08030801,080308,0803,08
Cuccara,Manusae,Hatulia A,08030702,080307,0803,08
Otete,Manusae,Hatulia A,08030705,080307,0803,08
Hatete,Manusae,Hatulia A,08030703,080307,0803,08
Hatuposi,Ponilala,Ermera,08020703,080207,0802,08
Nunupu,Ponilala,Ermera,08020704,080207,0802,08
Cota Heu,Ponilala,Ermera,08020701,080207,0802,08
Nunusua,Talimoro,Ermera,08021005,080210,0802,08
Coracao De Jesus,Estado,Ermera,08020101,080201,0802,08
Pandevou,Guiço,Maubara,10030204,100302,1003,10
Mau-Uno,Guiço,Maubara,10030203,100302,1003,10
Puquelete,Gugleur,Maubara,10030109,100301,1003,10
Raenaba,Gugleur,Maubara,10030110,100301,1003,10
Cai-Cassa,Gugleur,Maubara,10030101,100301,1003,10
Dair,Gugleur,Maubara,10030102,100301,1003,10
Vatumori,Gugleur,Maubara,10030111,100301,1003,10
Erito,Gugleur,Maubara,10030103,100301,1003,10
Palistla,Gugleur,Maubara,10030108,100301,1003,10
Lautecas,Gugleur,Maubara,10030104,100301,1003,10
Lauvou,Gugleur,Maubara,10030105,100301,1003,10
Lissa-Lara,Gugleur,Maubara,10030107,100301,1003,10
Lebulugor,Gugleur,Maubara,10030106,100301,1003,10
Nauner,Ulmera,Bazartete,10010906,100109,1001,10
Fatubesilolo,Ulmera,Bazartete,10010903,100109,1001,10
Neran,Ulmera,Bazartete,10010907,100109,1001,10
Essirat,Ulmera,Bazartete,10010902,100109,1001,10
Ermeta,Ulmera,Bazartete,10010901,100109,1001,10
Mane-Muno,Ulmera,Bazartete,10010905,100109,1001,10
Terlau,Ulmera,Bazartete,10010908,100109,1001,10
Rai Oan,Fatumea,Fatumean,06020204,060202,0602,06
Nanu,Nanu,Fatumean,06020303,060203,0602,06
Aitos,Dato Rua,Fohorem,06030101,060301,0603,06
Fatuc Cabuar Craic,Dato Tolu,Fohorem,06030201,060302,0603,06
Loroquida,Fohoren,Fohorem,06030304,060303,0603,06
Cacaut,Lactos,Fohorem,06030402,060304,0603,06
Gazolo,Belecasac,Maucatar,06040104,060401,0604,06
Matai,Matai,Maucatar,06040303,060403,0604,06
Halic,Beco,Suai,06050105,060501,0605,06
Manequin,Camenaça,Suai,06050203,060502,0605,06
Acar Laran,Suai Loro,Suai,06050501,060505,0605,06
Coloama,Casabauc,Tilomar,06060202,060602,0606,06
Bitis,Lalawa,Tilomar,06060302,060603,0606,06
Sadahur,Maudemo,Tilomar,06060407,060604,0606,06
Colu,Fatuleto,Zumalai,06070102,060701,0607,06
Aisal Leuc,Lepo,Zumalai,06070201,060702,0607,06
Uluc Lolo,Lour,Zumalai,06070307,060703,0607,06
Mape Canua,Mape,Zumalai,06070402,060704,0607,06
Beilaco,Raimea,Zumalai,06070501,060705,0607,06
Galitaz,Tashilin,Zumalai,06070604,060706,0607,06
Leogol,Zulo,Zumalai,06070802,060708,0607,06
Natardic,Dato Tolu,Fohorem,06030203,060302,0603,06
Fatuc cabuar Leten,Dato Tolu,Fohorem,06030202,060302,0603,06
Au-Lulic,Lactos,Fohorem,06030401,060304,0603,06
Fatuc Laran,Lactos,Fohorem,06030404,060304,0603,06
Calobor,Lactos,Fohorem,06030403,060304,0603,06
Hali-Laran,Dato Rua,Fohorem,06030103,060301,0603,06
Fatulidun,Dato Rua,Fohorem,06030102,060301,0603,06
Lo'o Hali,Fohoren,Fohorem,06030303,060303,0603,06
Fatuc Bitic Laran,Fohoren,Fohorem,06030301,060303,0603,06
Fatuc Laran,Fohoren,Fohorem,06030302,060303,0603,06
Sadahur,Fohoren,Fohorem,06030305,060303,0603,06
Baer,Beiseuc,Tilomar,06060101,060601,0606,06
Fatuc Metan,Beiseuc,Tilomar,06060102,060601,0606,06
Salele Bot,Lalawa,Tilomar,06060305,060603,0606,06
Ai Oan,Lalawa,Tilomar,06060301,060603,0606,06
Kota Foun,Lalawa,Tilomar,06060304,060603,0606,06
Tulaeduc,Lalawa,Tilomar,06060306,060603,0606,06
Halemea,Lalawa,Tilomar,06060303,060603,0606,06
Fau-Laran,Maudemo,Tilomar,06060405,060604,0606,06
Onu-Laran,Maudemo,Tilomar,06060406,060604,0606,06
Ai-Taman,Maudemo,Tilomar,06060401,060604,0606,06
Besac Oan,Maudemo,Tilomar,06060402,060604,0606,06
Caicoli,Maudemo,Tilomar,06060403,060604,0606,06
Coitau,Maudemo,Tilomar,06060404,060604,0606,06
Tabolo,Casabauc,Tilomar,06060203,060602,0606,06
Cawauman,Casabauc,Tilomar,06060201,060602,0606,06
Salasa,Lour,Zumalai,06070304,060703,0607,06
Somo Kanua,Lour,Zumalai,06070305,060703,0607,06
Lae Gatal,Lour,Zumalai,06070301,060703,0607,06
Tilis,Lour,Zumalai,06070306,060703,0607,06
Ritiluli,Lour,Zumalai,06070303,060703,0607,06
Uma Claran,Raimea,Zumalai,06070503,060705,0607,06
Loro,Raimea,Zumalai,06070502,060705,0607,06
Webaba,Raimea,Zumalai,06070504,060705,0607,06
Leudula,Ucecai,Zumalai,06070701,060707,0607,06
Reaçu,Ucecai,Zumalai,06070702,060707,0607,06
Lepo Canua,Lepo,Zumalai,06070205,060702,0607,06
