# Aldeia-layer NewSucoCod values that disagree with sukus.gpkg (Suco.shp).
# Generated by centroid-in-suco spatial join; kept for audit — import uses live spatial
# resolution in suco_resolve.py, not this file directly.
aldeia_attr_pcode,suco_pcode,reason
040402,040401,name swap Matebian (Abo vs Laisorolai De Baixo)
040408,040402,orphan aldeia pcode → Matebian renumber
040409,040403,orphan aldeia pcode → Matebian renumber
040410,040404,orphan aldeia pcode → Matebian renumber
040413,040405,orphan aldeia pcode → Matebian renumber
040514,040504,orphan aldeia pcode → Quelicai renumber
040515,040505,orphan aldeia pcode → Quelicai renumber
080207,080208,Poetete Lodudu/Vila label swap
080208,080207,Poetete Lodudu/Vila label swap
100302,100301,Loes reorg (Guiço/Lissadila rotation)
100303,100302,Loes reorg
100305,100303,orphan aldeia pcode → Loes renumber
100404,100402,Loes reorg (Maubaralisa/Vaviquinia)
100406,100403,orphan aldeia pcode → Loes renumber
100407,100404,orphan aldeia pcode → Loes renumber
