provider,provider_code,provider_name,provider_post,provider_mun,canonical_pcode,canonical_name,subdstcode,distcode,distname,subdistrct,region,status,score,note
intl2024,020101,Ainaro,Ainaro,Ainaro,10101,Ainaro,101,1,Ainaro,Ainaro,2,matched,1.00,
intl2024,020107,Suro-Craic,Ainaro,Ainaro,10102,Suro-Craic,101,1,Ainaro,Ainaro,2,matched,1.00,
intl2024,020106,Soro,Ainaro,Ainaro,10103,Soro,101,1,Ainaro,Ainaro,2,matched,1.00,
intl2024,020103,Manutaci,Ainaro,Ainaro,10104,Manutasi,101,1,Ainaro,Ainaro,2,matched,0.88,
intl2024,020102,Cassa,Ainaro,Ainaro,10105,Cassa,101,1,Ainaro,Ainaro,2,matched,1.00,
intl2024,020105,Mau-Ulo,Ainaro,Ainaro,10106,Mau-Ulo,101,1,Ainaro,Ainaro,2,matched,1.00,
intl2024,020104,Mau-Nuno,Ainaro,Ainaro,10107,Mau-Nuno,101,1,Ainaro,Ainaro,2,matched,1.00,
intl2024,020302,Mulo,Hato-Builico,Ainaro,10201,Mulo,102,1,Ainaro,Hatu-Builico,2,matched,1.00,
intl2024,020303,Nuno-Mogue,Hato-Builico,Ainaro,10202,Nuno-Mogue,102,1,Ainaro,Hatu-Builico,2,matched,1.00,
intl2024,020301,Mauchiga,Hato-Builico,Ainaro,10203,Mau-Chiga,102,1,Ainaro,Hatu-Builico,2,matched,1.00,
intl2024,020408,Maubisse,Maubisse,Ainaro,10301,Maubisse,103,1,Ainaro,Maubisse,2,matched,1.00,
intl2024,020406,Manelobas,Maubisse,Ainaro,10302,Manelobas,103,1,Ainaro,Maubisse,2,matched,1.00,
intl2024,020407,Manetú,Maubisse,Ainaro,10303,Manetu,103,1,Ainaro,Maubisse,2,matched,1.00,
intl2024,020401,Aituto,Maubisse,Ainaro,10304,Aitutu,103,1,Ainaro,Maubisse,2,matched,1.00,
intl2024,020402,Edi,Maubisse,Ainaro,10305,Edi,103,1,Ainaro,Maubisse,2,matched,1.00,
intl2024,020409,Maulau,Maubisse,Ainaro,10306,Maulau,103,1,Ainaro,Maubisse,2,matched,1.00,
intl2024,020404,Horai-Quic,Maubisse,Ainaro,10307,Horai-Quic,103,1,Ainaro,Maubisse,2,matched,1.00,
intl2024,020405,Liurai,Maubisse,Ainaro,10308,Suco Liurai,103,1,Ainaro,Maubisse,2,matched,0.75,
intl2024,020403,Fatubessi,Maubisse,Ainaro,10309,Fatu-Besi,103,1,Ainaro,Maubisse,2,matched,1.00,
intl2024,020202,Leolima,Hato-Udo,Ainaro,10401,Leolima,104,1,Ainaro,Hatu-Udo,2,matched,1.00,
intl2024,020201,Foho-Ai-Lico,Hato-Udo,Ainaro,10402,Foho-ai-Lico,104,1,Ainaro,Hatu-Udo,2,matched,1.00,
intl2024,010101,Aissirimou,Aileu Vila,Aileu,20101,Aisirimou,201,2,Aileu,Aileu vila,3,matched,1.00,
intl2024,010102,Bandudato,Aileu Vila,Aileu,20102,Bandudato,201,2,Aileu,Aileu vila,3,matched,1.00,
intl2024,010103,Fahiria,Aileu Vila,Aileu,20103,Fahiria,201,2,Aileu,Aileu vila,3,matched,1.00,
intl2024,010104,Fatubossa,Aileu Vila,Aileu,20104,Fatubosa,201,2,Aileu,Aileu vila,3,matched,1.00,
intl2024,010107,Lahae,Aileu Vila,Aileu,20105,Lahae,201,2,Aileu,Aileu vila,3,matched,1.00,
intl2024,010108,Lauisi,Aileu Vila,Aileu,20106,Lauisi,201,2,Aileu,Aileu vila,3,matched,0.91,
intl2024,010105,Hoholau,Aileu Vila,Aileu,20107,Hoholau,201,2,Aileu,Aileu vila,3,matched,1.00,
intl2024,010112,Seloi Malere,Aileu Vila,Aileu,20108,Seloi Malere,201,2,Aileu,Aileu vila,3,matched,1.00,
intl2024,010111,Seloi Craic,Aileu Vila,Aileu,20109,Seloi Craic,201,2,Aileu,Aileu vila,3,matched,1.00,
intl2024,010110,Saboria,Aileu Vila,Aileu,20110,Saboria,201,2,Aileu,Aileu vila,3,matched,1.00,
intl2024,010113,Suco Liurai,Aileu Vila,Aileu,20111,Suco Liurai,201,2,Aileu,Aileu vila,3,matched,1.00,name~Suco-Liurai(1.00); geom-paired
intl2024,010109,Lequitura,Aileu Vila,Aileu,20112,Lequitura,201,2,Aileu,Aileu vila,3,new,0.57,
intl2024,010106,Hurai-Raco,Aileu Vila,Aileu,20113,Hurai-Raco,201,2,Aileu,Aileu vila,3,new,0.71,
intl2024,010307,Namolesso,Lequidoe,Aileu,20201,Namoleso,202,2,Aileu,Liquidoe,3,matched,1.00,
intl2024,010301,Acubilitoho,Lequidoe,Aileu,20202,Acubilitoho,202,2,Aileu,Liquidoe,3,matched,1.00,
intl2024,010303,Betulau,Lequidoe,Aileu,20203,Betulau,202,2,Aileu,Liquidoe,3,matched,1.00,
intl2024,010305,Faturilau,Lequidoe,Aileu,20204,Faturilau,202,2,Aileu,Liquidoe,3,matched,1.00,
