SUCONAME,SUBDSTCODE,DISTCODE,DISTNAME,SUBDISTRCT,SUCOCODE,REGION
Biceli,604,14,Atauro,Atauro,60405,3
Beloi,604,14,Atauro,Atauro,60403,3
Macadade,604,14,Atauro,Atauro,60404,3
Maquili,604,14,Atauro,Atauro,60402,3
Atauro Vila/Maumeta,604,14,Atauro,Atauro,60401,3
Parlamento,902,9,Lautem,Lautem,90209,1
Mehara,905,9,Lautem,Tutuala,90501,1
Com,902,9,Lautem,Lautem,90202,1
Tutuala,905,9,Lautem,Tutuala,90502,1
Pairara,902,9,Lautem,Lautem,90208,1
Baduro,902,9,Lautem,Lautem,90201,1
Maina II,902,9,Lautem,Lautem,90206,1
Serelau,902,9,Lautem,Lautem,90210,1
Bauro,901,9,Lautem,Lospalos,90101,1
Daudare,902,9,Lautem,Lautem,90203,1
Ililai,902,9,Lautem,Lautem,90205,1
Raça,901,9,Lautem,Lospalos,90109,1
Euquisi,902,9,Lautem,Lautem,90204,1
Tutuala,905,9,Lautem,Tutuala,90502,1
Caibada,301,3,Baucau,Baucau,30111,1
Trilolo,301,3,Baucau,Baucau,30109,1
Samalari,302,3,Baucau,Laga,30204,1
Nunira,302,3,Baucau,Laga,30206,1
Maina II,902,9,Lautem,Lautem,90207,1
Fuiloro,901,9,Lautem,Lospalos,90102,1
Bahu,301,3,Baucau,Baucau,30101,1
Buruma,301,3,Baucau,Baucau,30103,1
Triloca,301,3,Baucau,Baucau,30108,1
Caibada,301,3,Baucau,Baucau,30111,1
Bucoli,301,3,Baucau,Baucau,30102,1
Soba,302,3,Baucau,Laga,30203,1
Seical,301,3,Baucau,Baucau,30110,1
Home,901,9,Lautem,Lospalos,90103,1
Saelari,302,3,Baucau,Laga,30208,1
Vemase,305,3,Baucau,Vemase,30501,1
Tequino Mata,302,3,Baucau,Laga,30202,1
Umacaduac,1103,11,Manatuto,Laclo,110302,2
Muapitine,901,9,Lautem,Lospalos,90108,1
Buibau,301,3,Baucau,Baucau,30104,1
Sau,1101,11,Manatuto,Manatuto,110104,2
Libagua,302,3,Baucau,Laga,30207,1
Duyung (Sereia),603,6,Dili,Metinaro,60302,3
Wairoce,904,9,Lautem,Luro,90406,1
Afabubu,904,9,Lautem,Luro,90401,1
Lifau,1102,11,Manatuto,Laleia,110201,2
Sagadati,302,3,Baucau,Laga,30205,1
Ostico,305,3,Baucau,Vemase,30502,1
Souro,901,9,Lautem,Lospalos,90110,1
Cotamutu,904,9,Lautem,Luro,90403,1
Leuro,901,9,Lautem,Lospalos,90105,1
Lacawa,904,9,Lautem,Luro,90404,1
Samalari,301,3,Baucau,Baucau,30106,1
Ma'abat,1101,11,Manatuto,Manatuto,110103,2
Namanei,303,3,Baucau,Quelicai,30314,1
Wailili,301,3,Baucau,Baucau,30105,1
Luro,904,9,Lautem,Luro,90405,1
Afaca,303,3,Baucau,Quelicai,30310,1
Iliheu,1101,11,Manatuto,Manatuto,110105,2
Aiteas,1101,11,Manatuto,Manatuto,110102,2
Hera,606,6,Dili,Cristo Rei,60604,3
Sabuli,603,6,Dili,Metinaro,60301,3
Sabuli,603,6,Dili,Metinaro,60301,3
Gariuai,301,3,Baucau,Baucau,30107,1
Meti Aut,606,6,Dili,Cristo Rei,60606,3
Caicua,305,3,Baucau,Vemase,30507,1
Ailili,1101,11,Manatuto,Manatuto,110106,2
Lacumesac,1103,11,Manatuto,Laclo,110301,2
Lavateri,304,3,Baucau,Baguia,30409,1
Guruca,303,3,Baucau,Quelicai,30309,1
Atelari,302,3,Baucau,Laga,30201,1
Haturalan,1102,11,Manatuto,Laleia,110202,2
Comoro,605,6,Dili,Dom Aleixo,60503,3
Macalaco,303,3,Baucau,Quelicai,30305,1
Fatuhada,605,6,Dili,Dom Aleixo,60501,3
Bidau Santana,606,6,Dili,Cristo Rei,60607,3
Cacavem,901,9,Lautem,Lospalos,90104,1
Bidau Lecidere,602,6,Dili,Nain Feto,60205,3
Kampung Alor,605,6,Dili,Dom Aleixo,60502,3
Motael,601,6,Dili,Vera Cruz,60106,3
Uatu-Lari,305,3,Baucau,Vemase,30506,1
Acadiru Hun,602,6,Dili,Nain Feto,60202,3
Lore II,901,9,Lautem,Lospalos,90107,1
Uaigae,305,3,Baucau,Vemase,30505,1
Gricenfor,602,6,Dili,Nain Feto,60206,3
Lore I,901,9,Lautem,Lospalos,90106,1
Abafala,303,3,Baucau,Quelicai,30315,1
Colmera,601,6,Dili,Vera Cruz,60105,3
Bairro Pite,605,6,Dili,Dom Aleixo,60504,3
Camea,606,6,Dili,Cristo Rei,60603,3
Culu Hun,606,6,Dili,Cristo Rei,60601,3
Becora,606,6,Dili,Cristo Rei,60602,3
Waitame,303,3,Baucau,Quelicai,30304,1
Tibar,801,8,Liquiçá,Bazartete,80103,4
Santa Cruz,602,6,Dili,Nain Feto,60201,3
Vila Verde,601,6,Dili,Vera Cruz,60102,3
Caicoli,601,6,Dili,Vera Cruz,60104,3
Bemori,602,6,Dili,Nain Feto,60203,3
Uacala,304,3,Baucau,Baguia,30410,1
Suco-Liurai,203,2,Aileu,Remexio,20303,3
Baricafa,904,9,Lautem,Luro,90402,1
Motaulun,801,8,Liquiçá,Bazartete,80104,4
Defa Uassi,304,3,Baucau,Baguia,30408,1
Macarenhas,601,6,Dili,Vera Cruz,60103,3
Lahane Oriental,602,6,Dili,Nain Feto,60204,3
Hohorai,1103,11,Manatuto,Laclo,110304,2
Ulmera,801,8,Liquiçá,Bazartete,80109,4
Loilubo,305,3,Baucau,Vemase,30504,1
Uma Naruc,1103,11,Manatuto,Laclo,110303,2
Lauhata,801,8,Liquiçá,Bazartete,80106,4
Baguia,303,3,Baucau,Quelicai,30301,1
Lahane Ocidental,601,6,Dili,Vera Cruz,60101,3
Samalari,304,3,Baucau,Baguia,30407,1
Acumau,203,2,Aileu,Remexio,20301,3
Fuat,903,9,Lautem,Iliomar,90303,1
Cairui,1102,11,Manatuto,Laleia,110203,2
Uma Ana Ico,306,3,Baucau,Venilale,30605,1
Uma Ana Ulo,306,3,Baucau,Venilale,30606,1
Dare,601,6,Dili,Vera Cruz,60107,3
Ossoala,305,3,Baucau,Vemase,30503,1
Talitu,204,2,Aileu,Laulara,20402,3
Bado Ho'o,306,3,Baucau,Venilale,30601,1
Maumeta,801,8,Liquiçá,Bazartete,80108,4
Dato,802,8,Liquiçá,Liquiçá,80201,4
Tulataqueo,203,2,Aileu,Remexio,20302,3
Balibar,606,6,Dili,Cristo Rei,60605,3
Letemuno,303,3,Baucau,Quelicai,30303,1
Bualale,303,3,Baucau,Quelicai,30306,1
Locoliu,303,3,Baucau,Quelicai,30302,1
Haeconi,304,3,Baucau,Baguia,30404,1
Uaibobo,1302,13,Viqueque,Ossu,130201,1
Baha Mori,306,3,Baucau,Venilale,30602,1
Loidahar,802,8,Liquiçá,Liquiçá,80202,4
Baha Mori,306,3,Baucau,Venilale,30602,1
